x1,x2,x3,x4,x5,x6,x7,y
25,-20,0,-25,0,-125,-25,25
24.9001,-19.96,0,-24.9001,0,-124.251499,-24.9001,24.9001
24.8004,-19.92,0,-24.8004,0,-123.505992,-24.8004,24.8004
24.7009,-19.88,0,-24.7009,0,-122.763473,-24.7009,24.7009
24.6016,-19.84,0,-24.6016,0,-122.023936,-24.6016,24.6016
24.5025,-19.8,0,-24.5025,0,-121.287375,-24.5025,24.5025
24.4036,-19.76,0,-24.4036,0,-120.553784,-24.4036,24.4036
24.3049,-19.72,0,-24.3049,0,-119.823157,-24.3049,24.3049
24.2064,-19.68,0,-24.2064,0,-119.095488,-24.2064,24.2064
24.1081,-19.64,0,-24.1081,0,-118.370771,-24.1081,24.1081
24.01,-19.6,0,-24.01,0,-117.649,-24.01,24.01
23.9121,-19.56,0,-23.9121,0,-116.930169,-23.9121,23.9121
23.8144,-19.52,0,-23.8144,0,-116.214272,-23.8144,23.8144
23.7169,-19.48,0,-23.7169,0,-115.501303,-23.7169,23.7169
23.6196,-19.44,0,-23.6196,0,-114.791256,-23.6196,23.6196
23.5225,-19.4,0,-23.5225,0,-114.084125,-23.5225,23.5225
23.4256,-19.36,0,-23.4256,0,-113.379904,-23.4256,23.4256
23.3289,-19.32,0,-23.3289,0,-112.678587,-23.3289,23.3289
23.2324,-19.28,0,-23.2324,0,-111.980168,-23.2324,23.2324
23.1361,-19.24,0,-23.1361,0,-111.284641,-23.1361,23.1361
23.04,-19.2,0,-23.04,0,-110.592,-23.04,23.04
22.9441,-19.16,0,-22.9441,0,-109.902239,-22.9441,22.9441
22.8484,-19.12,0,-22.8484,0,-109.215352,-22.8484,22.8484
22.7529,-19.08,0,-22.7529,0,-108.531333,-22.7529,22.7529
22.6576,-19.04,0,-22.6576,0,-107.850176,-22.6576,22.6576
22.5625,-19,0,-22.5625,0,-107.171875,-22.5625,22.5625
22.4676,-18.96,0,-22.4676,0,-106.496424,-22.4676,22.4676
22.3729,-18.92,0,-22.3729,0,-105.823817,-22.3729,22.3729
22.2784,-18.88,0,-22.2784,0,-105.154048,-22.2784,22.2784
22.1841,-18.84,0,-22.1841,0,-104.487111,-22.1841,22.1841
22.09,-18.8,0,-22.09,0,-103.823,-22.09,22.09
21.9961,-18.76,0,-21.9961,0,-103.161709,-21.9961,21.9961
21.9024,-18.72,0,-21.9024,0,-102.503232,-21.9024,21.9024
21.8089,-18.68,0,-21.8089,0,-101.847563,-21.8089,21.8089
21.7156,-18.64,0,-21.7156,0,-101.194696,-21.7156,21.7156
21.6225,-18.6,0,-21.6225,0,-100.544625,-21.6225,21.6225
21.5296,-18.56,0,-21.5296,0,-99.897344,-21.5296,21.5296
21.4369,-18.52,0,-21.4369,0,-99.252847,-21.4369,21.4369
21.3444,-18.48,0,-21.3444,0,-98.611128,-21.3444,21.3444
21.2521,-18.44,0,-21.2521,0,-97.972181,-21.2521,21.2521
21.16,-18.4,0,-21.16,0,-97.336,-21.16,21.16
21.0681,-18.36,0,-21.0681,0,-96.702579,-21.0681,21.0681
20.9764,-18.32,0,-20.9764,0,-96.071912,-20.9764,20.9764
20.8849,-18.28,0,-20.8849,0,-95.443993,-20.8849,20.8849
20.7936,-18.24,0,-20.7936,0,-94.818816,-20.7936,20.7936
20.7025,-18.2,0,-20.7025,0,-94.196375,-20.7025,20.7025
20.6116,-18.16,0,-20.6116,0,-93.576664,-20.6116,20.6116
20.5209,-18.12,0,-20.5209,0,-92.959677,-20.5209,20.5209
20.4304,-18.08,0,-20.4304,0,-92.345408,-20.4304,20.4304
20.3401,-18.04,0,-20.3401,0,-91.733851,-20.3401,20.3401
20.25,-18,0,-20.25,0,-91.125,-20.25,20.25
20.1601,-17.96,0,-20.1601,0,-90.518849,-20.1601,20.1601
20.0704,-17.92,0,-20.0704,0,-89.915392,-20.0704,20.0704
19.9809,-17.88,0,-19.9809,0,-89.314623,-19.9809,19.9809
